"#","Reference","Qty","Value","Footprint","DNP"
"1","DD1","1","LDT-M2806RI","DIPS762W45P254L2253H635Q12N",""
"2","DR1","1","9.53 k","",""
"3","DU1","1","MAX7219CNG","Package_DIP:DIP-24_W7.62mm",""
"4","M1","1","Motor_DC","",""
"5","MC1","1","c=0.1uF","",""
"6","MR1","1","10k","",""
"7","MU1","1","L293D","Package_DIP:DIP-16_W7.62mm",""
"8","PC1, PC2","2","100","",""
"9","PC3","1","C_Polarized_US","",""
"10","PD1","1","15SQ045","",""
"11","PDC1","1","Jack-DC","",""
"12","PL1","1","337uH","",""
"13","PL2","1","1uh","",""
"14","PR1, PR2","2","R_US","",""
"15","PRSC1","1","1R","",""
"16","PTC1","1","680pf","",""
"17","PTC2","1","100pf","",""
"18","PU1","1","MC34063API","Package_DIP:DIP-8_W7.62mm",""
"19","U1","1","ESP32-DEVKITC-32D","ESP32-DEVKITC-32D:MODULE_ESP32-DEVKITC-32D",""
"20","UD1, UD2","2","LED","",""
"21","UR1","1","10KΩ","",""
"22","USW1, USW2","2","SW_Push","",""
